Payer_Type,N_Records,N_Hospitals,N_Cities,Mean_Price,Median_Price,Std_Dev,Min_Price,Max_Price,CV_Percent
Medicaid,8786,8786,32,906.4444327566583,127.0,2065.1995157465617,0.3996,29676.86,227.83520325299187
Medicare,13913,13913,18,1231.1971702724068,694.0,1838.5688791094851,10.92,19682.52,149.33179863487626
Private / Commercial,44094,44094,38,3010.5736438503977,934.0,22768.751438716055,0.0754799999999999,2476196.0,756.29279108402
Self-pay / Other,233,233,5,1948.314163090129,572.0,6411.910233628019,106.81,85366.0,329.1004271846175
